ID_LOG_MAT;MODO_INGRESO;ID_ASIGNACION;ID_MTO;DESC_BODEGA;DIAM_BODEGA;EVENTO;DOCUMENTO;CANT_MOVIMIENTO;FOTO_RESPALDO;UBIC_DESTINO;ID_BULK_ORIGEN;FECHA;USUARIO
c8142688;ASIGNADO A LÍNEA;M-00084;1.471;;;RECEPCIÓN;;2,67;;;;12/03/2026;Enzo Santambrogio
c8142689;ASIGNADO A LÍNEA;M-00085;1.472;;;RECEPCIÓN;;0,1;;;;12/03/2026;Enzo Santambrogio
c8142690;ASIGNADO A LÍNEA;M-00086;1.473;;;RECEPCIÓN;;0,1;;;;12/03/2026;Enzo Santambrogio
c8142691;ASIGNADO A LÍNEA;M-00087;1.474;;;RECEPCIÓN;;6;;;;12/03/2026;Enzo Santambrogio
c8142692;ASIGNADO A LÍNEA;M-00088;1.475;;;RECEPCIÓN;;0,3;;;;12/03/2026;Enzo Santambrogio
c8142693;ASIGNADO A LÍNEA;M-00089;1.476;;;RECEPCIÓN;;4,86;;;;12/03/2026;Enzo Santambrogio
c8142694;ASIGNADO A LÍNEA;M-00090;1.477;;;RECEPCIÓN;;0,25;;;;12/03/2026;Enzo Santambrogio
c8142695;ASIGNADO A LÍNEA;M-00091;1.478;;;RECEPCIÓN;;3,02;;;;12/03/2026;Enzo Santambrogio
c8142696;ASIGNADO A LÍNEA;M-00092;1.479;;;RECEPCIÓN;;4,72;;;;12/03/2026;Enzo Santambrogio
c8142697;ASIGNADO A LÍNEA;M-00093;1.480;;;RECEPCIÓN;;4,51;;;;12/03/2026;Enzo Santambrogio
c8142698;ASIGNADO A LÍNEA;M-00094;1.481;;;RECEPCIÓN;;2,01;;;;12/03/2026;Enzo Santambrogio
c8142699;ASIGNADO A LÍNEA;M-00095;1.485;;;RECEPCIÓN;;1,58;;;;12/03/2026;Enzo Santambrogio
c8142700;ASIGNADO A LÍNEA;M-00096;1.486;;;RECEPCIÓN;;3,9;;;;12/03/2026;Enzo Santambrogio
c8142701;ASIGNADO A LÍNEA;M-00097;1.487;;;RECEPCIÓN;;0,92;;;;12/03/2026;Enzo Santambrogio
c8142702;ASIGNADO A LÍNEA;M-00098;1.489;;;RECEPCIÓN;;2,31;;;;12/03/2026;Enzo Santambrogio
c8142703;ASIGNADO A LÍNEA;M-00099;1.490;;;RECEPCIÓN;;6;;;;12/03/2026;Enzo Santambrogio
c8142704;ASIGNADO A LÍNEA;M-00100;1.492;;;RECEPCIÓN;;0,35;;;;12/03/2026;Enzo Santambrogio
c8142705;ASIGNADO A LÍNEA;M-00101;1.493;;;RECEPCIÓN;;4,69;;;;12/03/2026;Enzo Santambrogio
c8142706;ASIGNADO A LÍNEA;M-00102;1.494;;;RECEPCIÓN;;1,04;;;;12/03/2026;Enzo Santambrogio
c8142707;ASIGNADO A LÍNEA;M-00103;1.495;;;RECEPCIÓN;;1,23;;;;12/03/2026;Enzo Santambrogio
c8142708;ASIGNADO A LÍNEA;M-00104;1.498;;;RECEPCIÓN;;0,76;;;;12/03/2026;Enzo Santambrogio
c8142709;ASIGNADO A LÍNEA;M-00105;1.500;;;RECEPCIÓN;;0,13;;;;12/03/2026;Enzo Santambrogio
c8142710;ASIGNADO A LÍNEA;M-00106;1.501;;;RECEPCIÓN;;0,13;;;;12/03/2026;Enzo Santambrogio
c8142711;ASIGNADO A LÍNEA;M-00107;1.502;;;RECEPCIÓN;;5,51;;;;12/03/2026;Enzo Santambrogio
c8142712;ASIGNADO A LÍNEA;M-00108;1.503;;;RECEPCIÓN;;5,21;;;;12/03/2026;Enzo Santambrogio
c8142713;ASIGNADO A LÍNEA;M-00109;1.504;;;RECEPCIÓN;;6;;;;12/03/2026;Enzo Santambrogio
c8142714;ASIGNADO A LÍNEA;M-00110;1.505;;;RECEPCIÓN;;0,56;;;;12/03/2026;Enzo Santambrogio
c8142715;ASIGNADO A LÍNEA;M-00111;1.506;;;RECEPCIÓN;;0,87;;;;12/03/2026;Enzo Santambrogio
c8142716;ASIGNADO A LÍNEA;M-00112;1.507;;;RECEPCIÓN;;2,33;;;;12/03/2026;Enzo Santambrogio
c8142717;ASIGNADO A LÍNEA;M-00113;1.508;;;RECEPCIÓN;;0,27;;;;12/03/2026;Enzo Santambrogio
c8142718;ASIGNADO A LÍNEA;M-00114;1.509;;;RECEPCIÓN;;0,1;;;;12/03/2026;Enzo Santambrogio
c8142719;ASIGNADO A LÍNEA;M-00115;1.510;;;RECEPCIÓN;;6;;;;12/03/2026;Enzo Santambrogio
