ID_VALVULA;ID_MTO;ID_LINEA;CLASE;DESCRIPCION;TAG PIPING;Correlativo Maqueta;DIAGRAMA;TAG INSTRUMENTACION;DIAM.;CANTIDAD
VAL024;1.2532;"03351-GW-1""-C1-0033-N";C1;"VÁLVULA DE BOLA 2 CUERPOS, MSS SP-110 CL 2000 CWP; WOG, FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";;;;;"3/4""";1
VAL025;1.2533;"03351-GW-1""-C1-0031-N";C1;"VÁLVULA DE BOLA 2 CUERPOS, MSS SP-110 CL 2000 CWP; WOG, FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";;;;;"3/4""";1
VAL026;1.2534;"03351-GW-1""-C1-0035-N";C1;"VÁLVULA DE BOLA 2 CUERPOS, MSS SP-110 CL 2000 CWP; WOG, FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASME B1.20.1 NPT, LO";;;;;"1""";1
VAL027;1.2535;"03351-GW-1""-C1-0031-N";C1;"VÁLVULA DE BOLA 2 CUERPOS, MSS SP-110 CL 2000 CWP; WOG, FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASME B1.20.1 NPT, LO";;;;;"1""";1
VAL028;1.2536;"03351-GW-1""-C1-0031-N";C1;"VÁLVULA DE BOLA 2 CUERPOS, MSS SP-110 CL 2000 CWP; WOG, FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASME B1.20.1 NPT, LO";;;;;"1""";1
VAL029;1.2537;"03351-GW-1""-C1-0035-N";C1;"VÁLVULA DE BOLA 2 CUERPOS, MSS SP-110 CL 2000 CWP; WOG, FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";;;;;"1""";1
VAL030;1.2538;"03351-GW-1""-C1-0033-N";C1;"VÁLVULA DE BOLA 2 CUERPOS, MSS SP-110 CL 2000 CWP; WOG, FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";;;;;"1""";1
VAL031;1.2539;"03351-GW-1""-C1-0033-N";C1;"VÁLVULA DE BOLA 2 CUERPOS, MSS SP-110 CL 2000 CWP; WOG, FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";;;;;"3/4""";1
VAL032;1.2540;"03351-GW-2""-C1-0095-N";C1;"VÁLVULA DE BOLA 2 CUERPOS, MSS SP-110 CL 2000 CWP; WOG, FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";;;;;"3/4""";1
VAL033;1.2541;"03351-GW-2""-C1-0095-N";C1;"VÁLVULA DE BOLA 2 CUERPOS, MSS SP-110 CL 2000 CWP; WOG, FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";;;;;"3/4""";1
VAL034;1.2542;"03351-PW-2""-C1-0051-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";;;;;"2""";1
VAL035;1.2543;"03351-PW-2""-C1-0025-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";;;;;"2""";1
VAL036;1.2544;"03351-PW-2""-C1-0028-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";;;;;"2""";1
VAL037;1.2545;"03351-PW-2""-C1-0091-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";;;;;"2""";1
VAL038;1.2546;"03351-PW-2""-C1-0054-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";;;;;"2""";1
VAL039;1.2547;"03351-PW-2""-C1-0056-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";;;;;"2""";1
VAL040;1.2548;"03351-PW-2""-C1-0055-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";;;;;"2""";1
VAL041;1.2549;"03351-PW-2""-C1-0014-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASME B1.20.1 NPT, LO";;;;;"2""";1
VAL042;1.2550;"03351-PW-2""-C1-0014-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASME B1.20.1 NPT, LO";;;;;"2""";1
